StartTimestampUTC,EndTimestampUTC,ForecastIntensity,ActualIntensity,Region,Index
2017-12-31T23:30+00:00,2018-01-01T00:00+00:00,154,155,National,low
2018-01-01T00:00+00:00,2018-01-01T00:30+00:00,154,157,National,low
2018-01-01T00:30+00:00,2018-01-01T01:00+00:00,159,164,National,low
2018-01-01T01:00+00:00,2018-01-01T01:30+00:00,169,171,National,low
2018-01-01T01:30+00:00,2018-01-01T02:00+00:00,170,172,National,low
2018-01-01T02:00+00:00,2018-01-01T02:30+00:00,165,172,National,low
2018-01-01T02:30+00:00,2018-01-01T03:00+00:00,159,170,National,low
2018-01-01T03:00+00:00,2018-01-01T03:30+00:00,153,172,National,low
2018-01-01T03:30+00:00,2018-01-01T04:00+00:00,140,166,National,low
2018-01-01T04:00+00:00,2018-01-01T04:30+00:00,130,157,National,low
2018-01-01T04:30+00:00,2018-01-01T05:00+00:00,120,154,National,low
2018-01-01T05:00+00:00,2018-01-01T05:30+00:00,113,159,National,low
2018-01-01T05:30+00:00,2018-01-01T06:00+00:00,109,161,National,low
2018-01-01T06:00+00:00,2018-01-01T06:30+00:00,105,176,National,low
2018-01-01T06:30+00:00,2018-01-01T07:00+00:00,106,181,National,moderate
2018-01-01T07:00+00:00,2018-01-01T07:30+00:00,106,178,National,low
2018-01-01T07:30+00:00,2018-01-01T08:00+00:00,107,178,National,low
2018-01-01T08:00+00:00,2018-01-01T08:30+00:00,107,182,National,moderate
2018-01-01T08:30+00:00,2018-01-01T09:00+00:00,122,192,National,moderate
2018-01-01T09:00+00:00,2018-01-01T09:30+00:00,131,197,National,moderate
2018-01-01T09:30+00:00,2018-01-01T10:00+00:00,139,208,National,moderate
2018-01-01T10:00+00:00,2018-01-01T10:30+00:00,148,210,National,moderate
2018-01-01T10:30+00:00,2018-01-01T11:00+00:00,160,220,National,moderate
2018-01-01T11:00+00:00,2018-01-01T11:30+00:00,171,229,National,moderate
2018-01-01T11:30+00:00,2018-01-01T12:00+00:00,186,232,National,moderate
2018-01-01T12:00+00:00,2018-01-01T12:30+00:00,202,234,National,moderate
2018-01-01T12:30+00:00,2018-01-01T13:00+00:00,214,238,National,moderate
2018-01-01T13:00+00:00,2018-01-01T13:30+00:00,229,242,National,moderate
2018-01-01T13:30+00:00,2018-01-01T14:00+00:00,233,248,National,moderate
2018-01-01T14:00+00:00,2018-01-01T14:30+00:00,236,252,National,moderate
2018-01-01T14:30+00:00,2018-01-01T15:00+00:00,240,261,National,moderate
2018-01-01T15:00+00:00,2018-01-01T15:30+00:00,241,259,National,moderate
2018-01-01T15:30+00:00,2018-01-01T16:00+00:00,238,259,National,moderate
2018-01-01T16:00+00:00,2018-01-01T16:30+00:00,253,257,National,moderate
2018-01-01T16:30+00:00,2018-01-01T17:00+00:00,255,259,National,moderate
2018-01-01T17:00+00:00,2018-01-01T17:30+00:00,255,252,National,moderate
2018-01-01T17:30+00:00,2018-01-01T18:00+00:00,257,252,National,moderate
2018-01-01T18:00+00:00,2018-01-01T18:30+00:00,253,249,National,moderate
2018-01-01T18:30+00:00,2018-01-01T19:00+00:00,245,248,National,moderate
2018-01-01T19:00+00:00,2018-01-01T19:30+00:00,233,243,National,moderate
2018-01-01T19:30+00:00,2018-01-01T20:00+00:00,225,227,National,moderate
2018-01-01T20:00+00:00,2018-01-01T20:30+00:00,214,215,National,moderate
2018-01-01T20:30+00:00,2018-01-01T21:00+00:00,208,208,National,moderate
2018-01-01T21:00+00:00,2018-01-01T21:30+00:00,207,204,National,moderate
2018-01-01T21:30+00:00,2018-01-01T22:00+00:00,201,196,National,moderate
2018-01-01T22:00+00:00,2018-01-01T22:30+00:00,194,188,National,moderate
2018-01-01T22:30+00:00,2018-01-01T23:00+00:00,184,174,National,low
2018-01-01T23:00+00:00,2018-01-01T23:30+00:00,174,171,National,low
2018-01-01T23:30+00:00,2018-01-02T00:00+00:00,162,175,National,low
2018-01-02T00:00+00:00,2018-01-02T00:30+00:00,143,175,National,low
2018-01-02T00:30+00:00,2018-01-02T01:00+00:00,151,184,National,moderate
2018-01-02T01:00+00:00,2018-01-02T01:30+00:00,163,191,National,moderate
2018-01-02T01:30+00:00,2018-01-02T02:00+00:00,173,198,National,moderate
2018-01-02T02:00+00:00,2018-01-02T02:30+00:00,182,205,National,moderate
2018-01-02T02:30+00:00,2018-01-02T03:00+00:00,191,214,National,moderate
2018-01-02T03:00+00:00,2018-01-02T03:30+00:00,203,227,National,moderate
2018-01-02T03:30+00:00,2018-01-02T04:00+00:00,210,230,National,moderate
2018-01-02T04:00+00:00,2018-01-02T04:30+00:00,217,240,National,moderate
2018-01-02T04:30+00:00,2018-01-02T05:00+00:00,225,244,National,moderate
2018-01-02T05:00+00:00,2018-01-02T05:30+00:00,244,246,National,moderate
2018-01-02T05:30+00:00,2018-01-02T06:00+00:00,258,243,National,moderate
2018-01-02T06:00+00:00,2018-01-02T06:30+00:00,285,246,National,moderate
2018-01-02T06:30+00:00,2018-01-02T07:00+00:00,306,253,National,moderate
2018-01-02T07:00+00:00,2018-01-02T07:30+00:00,318,262,National,moderate
2018-01-02T07:30+00:00,2018-01-02T08:00+00:00,332,269,National,moderate
2018-01-02T08:00+00:00,2018-01-02T08:30+00:00,331,276,National,moderate
2018-01-02T08:30+00:00,2018-01-02T09:00+00:00,334,276,National,moderate
2018-01-02T09:00+00:00,2018-01-02T09:30+00:00,332,272,National,moderate
2018-01-02T09:30+00:00,2018-01-02T10:00+00:00,330,274,National,moderate
2018-01-02T10:00+00:00,2018-01-02T10:30+00:00,324,271,National,moderate
2018-01-02T10:30+00:00,2018-01-02T11:00+00:00,320,275,National,moderate
2018-01-02T11:00+00:00,2018-01-02T11:30+00:00,316,280,National,high
2018-01-02T11:30+00:00,2018-01-02T12:00+00:00,312,274,National,moderate
2018-01-02T12:00+00:00,2018-01-02T12:30+00:00,309,268,National,moderate
2018-01-02T12:30+00:00,2018-01-02T13:00+00:00,306,267,National,moderate
2018-01-02T13:00+00:00,2018-01-02T13:30+00:00,295,269,National,moderate
